"TBLID","ORDER","Column heading for transposed file","LINE_TYPE","indent","Description","Census variable codes",,
"S10702",212,"T2est.212","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10702",213,"T2est.213","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10702",214,"T2est.214","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10702",215,"T2est.215","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10702",216,"T2est.216","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10702",217,"T2est.217","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10702",218,"T2est.218","S",3,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI","HUD30=0 AND HUD50=1",,
"S10702",219,"T2est.219","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702",220,"T2est.220","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10702",221,"T2est.221","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10702",222,"T2est.222","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10702",223,"T2est.223","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10702",224,"T2est.224","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10702",225,"T2est.225","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10702",226,"T2est.226","S",3,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI","HUD50=0 AND HUD80=1",,
"S10702",227,"T2est.227","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702",228,"T2est.228","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10702",229,"T2est.229","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10702",230,"T2est.230","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10702",231,"T2est.231","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10702",232,"T2est.232","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10702",233,"T2est.233","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10702",234,"T2est.234","S",3,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI","HUD80=0 AND HUD95=1",,
"S10702",235,"T2est.235","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702",236,"T2est.236","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10702",237,"T2est.237","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10702",238,"T2est.238","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10702",239,"T2est.239","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10702",240,"T2est.240","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10702",241,"T2est.241","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10702",242,"T2est.242","S",3,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 95% of HAMFI","HUD95=0",,
"S10702",243,"T2est.243","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702",244,"T2est.244","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10702",245,"T2est.245","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10702",246,"T2est.246","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10702",247,"T2est.247","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10702",248,"T2est.248","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10702",249,"T2est.249","D",4,"Renter occupied; AND cost burden not computed, household has none of the other severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10702C",1,"T2Cest.1","T",0,"Total: Occupied housing units",,,
"S10702C",2,"T2Cest.2","S",1,"Owner occupied","TEN=1:2",,
"S10702C",3,"T2Cest.3","S",2,"Owner occupied; AND has 1 or more of the 4 severe housing problems","KIT=2 OR PLM=2 OR PPR>1 OR OCPI>30",,
"S10702C",4,"T2Cest.4","S",3,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is less than or equal to 30% of HAMFI","HUD30=1",,
"S10702C",5,"T2Cest.5","D",4,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",6,"T2Cest.6","D",4,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",7,"T2Cest.7","D",4,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",8,"T2Cest.8","S",3,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI","HUD30=0 AND HUD50=1",,
"S10702C",9,"T2Cest.9","D",4,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",10,"T2Cest.10","D",4,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",11,"T2Cest.11","D",4,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",12,"T2Cest.12","S",3,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI","HUD50=0 AND HUD80=1",,
"S10702C",13,"T2Cest.13","D",4,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",14,"T2Cest.14","D",4,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",15,"T2Cest.15","D",4,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",16,"T2Cest.16","S",3,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI","HUD80=0 AND HUD95=1",,
"S10702C",17,"T2Cest.17","D",4,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",18,"T2Cest.18","D",4,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",19,"T2Cest.19","D",4,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",20,"T2Cest.20","S",3,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 95% of HAMFI","HUD95=0",,
"S10702C",21,"T2Cest.21","D",4,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",22,"T2Cest.22","D",4,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",23,"T2Cest.23","D",4,"Owner occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",24,"T2Cest.24","S",2,"Owner occupied; AND has none of the 4 severe housing problems","KIT=1 AND PLM=1 AND PPR<=1 AND 0<OCPI<=30",,
"S10702C",25,"T2Cest.25","S",3,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is less than or equal to 30% of HAMFI","HUD30=1",,
"S10702C",26,"T2Cest.26","D",4,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",27,"T2Cest.27","D",4,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",28,"T2Cest.28","D",4,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",29,"T2Cest.29","S",3,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI","HUD30=0 AND HUD50=1",,
"S10702C",30,"T2Cest.30","D",4,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",31,"T2Cest.31","D",4,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",32,"T2Cest.32","D",4,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",33,"T2Cest.33","S",3,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI","HUD50=0 AND HUD80=1",,
"S10702C",34,"T2Cest.34","D",4,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",35,"T2Cest.35","D",4,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",36,"T2Cest.36","D",4,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",37,"T2Cest.37","S",3,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI","HUD80=0 AND HUD95=1",,
"S10702C",38,"T2Cest.38","D",4,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",39,"T2Cest.39","D",4,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",40,"T2Cest.40","D",4,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",41,"T2Cest.41","S",3,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is greater than 95% of HAMFI","HUD95=0",,
"S10702C",42,"T2Cest.42","D",4,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",43,"T2Cest.43","D",4,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",44,"T2Cest.44","D",4,"Owner occupied; AND has none of the 4 severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",45,"T2Cest.45","S",2,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems","KIT=1 AND PLM=1 AND PPR<=1 AND OCPI=.",,
"S10702C",46,"T2Cest.46","S",3,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is less than or equal to 30% of HAMFI","HUD30=1",,
"S10702C",47,"T2Cest.47","D",4,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",48,"T2Cest.48","D",4,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",49,"T2Cest.49","D",4,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",50,"T2Cest.50","S",3,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI","HUD30=0 AND HUD50=1",,
"S10702C",51,"T2Cest.51","D",4,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",52,"T2Cest.52","D",4,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",53,"T2Cest.53","D",4,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",54,"T2Cest.54","S",3,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI","HUD50=0 AND HUD80=1",,
"S10702C",55,"T2Cest.55","D",4,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",56,"T2Cest.56","D",4,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",57,"T2Cest.57","D",4,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",58,"T2Cest.58","S",3,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI","HUD80=0 AND HUD95=1",,
"S10702C",59,"T2Cest.59","D",4,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",60,"T2Cest.60","D",4,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",61,"T2Cest.61","D",4,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",62,"T2Cest.62","S",3,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is greater than 95% of HAMFI","HUD95=0",,
"S10702C",63,"T2Cest.63","D",4,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",64,"T2Cest.64","D",4,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",65,"T2Cest.65","D",4,"Owner occupied; AND cost burden not computed, has none of the other severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",66,"T2Cest.66","S",1,"Renter occupied","TEN=3:4",,
"S10702C",67,"T2Cest.67","S",2,"Renter occupied; AND has 1 or more of the 4 severe housing problems","KIT=2 OR PLM=2 OR PPR>1 OR GRPI>30",,
"S10702C",68,"T2Cest.68","S",3,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is less than or equal to 30% of HAMFI","HUD30=1",,
"S10702C",69,"T2Cest.69","D",4,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",70,"T2Cest.70","D",4,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",71,"T2Cest.71","D",4,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",72,"T2Cest.72","S",3,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI","HUD30=0 AND HUD50=1",,
"S10702C",73,"T2Cest.73","D",4,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",74,"T2Cest.74","D",4,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",75,"T2Cest.75","D",4,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",76,"T2Cest.76","S",3,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI","HUD50=0 AND HUD80=1",,
"S10702C",77,"T2Cest.77","D",4,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",78,"T2Cest.78","D",4,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",79,"T2Cest.79","D",4,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",80,"T2Cest.80","S",3,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI","HUD80=0 AND HUD95=1",,
"S10702C",81,"T2Cest.81","D",4,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",82,"T2Cest.82","D",4,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",83,"T2Cest.83","D",4,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",84,"T2Cest.84","S",3,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 95% of HAMFI","HUD95=0",,
"S10702C",85,"T2Cest.85","D",4,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",86,"T2Cest.86","D",4,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",87,"T2Cest.87","D",4,"Renter occupied; AND has 1 or more of the 4 severe housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",88,"T2Cest.88","S",2,"Renter occupied; AND has none of the 4 severe housing problems","KIT=1 AND PLM=1 AND PPR<=1 AND 0<GRPI<=30",,
"S10702C",89,"T2Cest.89","S",3,"Renter occupied; AND has none of the 4 severe housing problems; AND household income is less than or equal to 30% of HAMFI","HUD30=1",,
"S10702C",90,"T2Cest.90","D",4,"Renter occupied; AND has none of the 4 severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10702C",91,"T2Cest.91","D",4,"Renter occupied; AND has none of the 4 severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is non-White, non-Hispanic","TOTRACE>1 AND HSGP=1",,
"S10702C",92,"T2Cest.92","D",4,"Renter occupied; AND has none of the 4 severe housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity Hispanic, any race","HSGP=2:8",,
"S10702C",93,"T2Cest.93","S",3,"Renter occupied; AND has none of the 4 severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI","HUD30=0 AND HUD50=1",,
"S10702C",94,"T2Cest.94","D",4,"Renter occupied; AND has none of the 4 severe housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
